Time,Ambient Temperature (degC),Object Temperature (degC),Humidity (RH),Barometer (millibars),Accelerometer-x (g),Accelerometer-y (g),Accelerometer-z (g),Magnetometer-x (uT),Magnetometer-y (uT),Magnetometer-z (uT),Gyroscope-x (deg/sec),Gyroscope-y (deg/sec),Gyroscope-z (deg/sec),Light (lux)
2018-07-10 19:36:32.618169,30.46875,20.8125,22.2412109375,1008.3,-0.49658203125,1.74755859375,0.92724609375,-73.1702075702,-0.599755799756,-7.04713064713,-2.81524658203,-3.36456298828,-2.22015380859,51.12
2018-07-10 19:37:34.788445,30.46875,20.9375,22.0458984375,1008.24,-0.443359375,1.80078125,0.93701171875,-72.5704517705,-0.299877899878,-7.79682539683,-1.19781494141,-4.48608398438,-1.66320800781,51.28
2018-07-10 19:38:36.894761,30.5,20.9375,22.0458984375,1008.22,-0.4833984375,1.83935546875,0.951171875,-73.62002442,0.149938949939,-6.89719169719,-2.43377685547,-3.84521484375,-2.02178955078,51.3
2018-07-10 19:39:38.857043,30.5,21.0625,21.9482421875,1008.26,-0.45654296875,1.74853515625,0.93994140625,-72.1206349206,0.599755799756,-6.59731379731,-2.67028808594,-2.98309326172,-1.02996826172,51.38
2018-07-10 19:40:41.031285,30.5,20.84375,21.9482421875,1008.3,-0.49951171875,1.7861328125,1.02978515625,-71.5208791209,1.19951159951,-6.44737484737,-2.76184082031,-4.97436523438,-1.60980224609,51.46
2018-07-10 19:41:43.061601,30.53125,20.96875,21.9482421875,1008.28,-0.45947265625,1.78662109375,0.9873046875,-72.8703296703,-1.34945054945,-6.74725274725,-1.12152099609,-3.73077392578,-1.54876708984,51.46
2018-07-10 19:42:45.231844,30.5,21.0625,21.9482421875,1008.33,-0.47021484375,1.70556640625,0.95068359375,-72.4205128205,0.299877899878,-6.59731379731,-3.54766845703,-3.04412841797,-2.70843505859,51.54
2018-07-10 19:43:47.402123,30.53125,21.0625,21.9482421875,1008.28,-0.4873046875,1.7158203125,0.86669921875,-71.5208791209,-1.34945054945,-6.74725274725,-2.54821777344,-3.80706787109,-2.05230712891,51.62
2018-07-10 19:44:49.436404,30.53125,20.875,21.9482421875,1008.3,-0.48876953125,1.8125,0.9658203125,-72.7203907204,-0.749694749695,-7.19706959707,-1.44958496094,-3.45611572266,-0.54931640625,51.62
2018-07-10 19:45:51.602681,30.53125,20.9375,21.8505859375,1008.28,-0.515625,1.744140625,0.97412109375,-71.6708180708,0.0,-5.69768009768,-2.69317626953,-2.54058837891,-1.57928466797,51.62
2018-07-10 19:46:54.108998,30.5,21.09375,21.8505859375,1008.29,-0.501953125,1.755859375,0.9638671875,-72.1206349206,0.149938949939,-6.44737484737,-3.19671630859,-3.58581542969,-2.60925292969,51.62
2018-07-10 19:47:56.351228,30.5,21.0625,21.8505859375,1008.28,-0.47021484375,1.77734375,0.93505859375,-72.1206349206,-0.299877899878,-7.04713064713,-1.15966796875,-3.47137451172,-1.78527832031,51.62
2018-07-10 19:48:58.449506,30.46875,20.875,21.8505859375,1008.33,-0.45849609375,1.76171875,0.8701171875,-71.9706959707,1.64932844933,-6.1474969475,-1.27410888672,-5.37872314453,-1.93786621094,51.7
2018-07-10 19:50:00.687785,30.46875,21.0625,21.8505859375,1008.36,-0.48193359375,1.80859375,1.00146484375,-71.0710622711,0.449816849817,-5.69768009768,-1.60217285156,-1.93023681641,-0.320434570312,51.7
2018-07-10 19:51:02.786063,30.3125,20.78125,21.9360351562,1008.36,-0.47314453125,1.71728515625,0.99462890625,-71.9706959707,1.34945054945,-6.1474969475,-2.69317626953,-3.99017333984,-2.38037109375,51.78
2018-07-10 19:52:05.096339,30.21875,20.65625,22.2290039062,1008.39,-0.49853515625,1.7109375,0.92724609375,-72.5704517705,-0.599755799756,-6.74725274725,-1.83868408203,-1.63269042969,-0.625610351562,51.78
2018-07-10 19:53:07.266616,30.21875,20.84375,22.2290039062,1008.4,-0.47802734375,1.76806640625,0.947265625,-73.1702075702,-0.299877899878,-6.74725274725,-1.25122070312,-4.02069091797,-1.33514404297,51.78
2018-07-10 19:54:09.296899,30.25,20.5625,22.2290039062,1008.4,-0.48828125,1.73876953125,0.87451171875,-73.0202686203,-0.749694749695,-6.1474969475,-1.27410888672,-3.06701660156,-0.480651855469,51.78
2018-07-10 19:55:11.467175,30.28125,20.5,22.1313476562,1008.41,-0.48095703125,1.75048828125,0.95068359375,-72.4205128205,0.299877899878,-5.84761904762,-0.968933105469,-1.40380859375,-2.53295898438,51.78
2018-07-10 19:56:13.769480,30.3125,20.625,22.0458984375,1008.43,-0.447265625,1.783203125,0.876953125,-72.5704517705,0.149938949939,-7.34700854701,-1.93786621094,-2.83813476562,-0.701904296875,51.78
